task,md,mp,mplan,vocab_p,vocab_r,vocab_f1,vocab_f1_relaxed,goal_exact,goal_jaccard,plan_length,notes
bag_groceries,1,1,1,0.793,1.0,0.885,0.885,1,1.0,9,
cleaning_office,1,1,1,0.6,0.943,0.733,0.733,1,1.0,20,
wash_towels,1,1,1,0.438,0.955,0.6,0.6,1,1.0,2,
unloading_the_car,1,1,0,0.419,0.783,0.545,0.567,0,0.4,0,
unloading_groceries,1,1,1,0.52,0.929,0.667,0.667,1,1.0,12,
vacuuming_floors,1,1,0,0.405,0.895,0.557,0.557,0,0.0,0,
vacuuming_vehicles,1,1,1,0.442,0.905,0.594,0.594,1,1.0,2,
unloading_shopping_items,1,1,0,0.529,0.871,0.659,0.659,0,0.889,0,
setting_table_for_coffee,1,1,1,0.531,0.897,0.667,0.667,1,1.0,15,
setting_the_table,1,1,1,0.52,0.929,0.667,0.667,1,1.0,19,
folding_clothes,1,1,1,0.477,0.875,0.618,0.618,0,0.5,6,
folding_clean_laundry,1,1,0,0.452,0.864,0.594,0.594,0,0.5,0,
